samling_nid,samling_tittel,lenketekst,href,format,maal_nid,maal_type,maal_publisert,finnes
15468,Tipsliste til SFO/AKS,Fliptriangelet,https://trivselsleder.no/fliptriangelet,full-adresse,13631,game,ja,ja
15468,Tipsliste til SFO/AKS,Doktorsisten,https://trivselsleder.no/doktorsisten,full-adresse,2725,game,ja,ja
15468,Tipsliste til SFO/AKS,Fire lys,https://trivselsleder.no/fire-lys,full-adresse,1076,game,ja,ja
15468,Tipsliste til SFO/AKS,Klokka,https://trivselsleder.no/klokka,full-adresse,,finnes_ikke,,nei
15468,Tipsliste til SFO/AKS,Fire lys,https://trivselsleder.no/fire-lys,full-adresse,1076,game,ja,ja
15468,Tipsliste til SFO/AKS,Gjett sporten,https://trivselsleder.no/gjett-sporten,full-adresse,3935,game,ja,ja
15468,Tipsliste til SFO/AKS,Alene hjemme,https://trivselsleder.no/alene-hjemme,full-adresse,6093,game,ja,ja
15468,Tipsliste til SFO/AKS,Fisken i det røde hav,https://trivselsleder.no/fisken-i-det-rode-hav,full-adresse,2698,game,ja,ja
15468,Tipsliste til SFO/AKS,Hei på deg,https://trivselsleder.no/hei-pa-deg,full-adresse,4177,game,ja,ja
15468,Tipsliste til SFO/AKS,Haukene,https://trivselsleder.no/haukene,full-adresse,8856,game,ja,ja
15468,Tipsliste til SFO/AKS,Bulldog,https://trivselsleder.no/bulldog,full-adresse,1353,game,ja,ja
15468,Tipsliste til SFO/AKS,Heia Heidi,https://trivselsleder.no/heia-heidi,full-adresse,1064,game,ja,ja
15468,Tipsliste til SFO/AKS,Byggekaos,https://trivselsleder.no/byggekaos,full-adresse,10123,game,ja,ja
15468,Tipsliste til SFO/AKS,Trejageren,https://trivselsleder.no/trejageren,full-adresse,1129,game,ja,ja
15468,Tipsliste til SFO/AKS,High five,https://trivselsleder.no/high-five-0,full-adresse,,finnes_ikke,,nei
15468,Tipsliste til SFO/AKS,Bulldog,https://trivselsleder.no/bulldog,full-adresse,1353,game,ja,ja
15468,Tipsliste til SFO/AKS,Silent escape,https://trivselsleder.no/silent-escape,full-adresse,1060,game,ja,ja
15468,Tipsliste til SFO/AKS,Hopp inn - hopp ut,https://trivselsleder.no/hopp-inn-hopp-ut,full-adresse,2274,game,ja,ja
15468,Tipsliste til SFO/AKS,15-leken,https://trivselsleder.no/15-leken,full-adresse,1093,game,ja,ja
15468,Tipsliste til SFO/AKS,Bevegelsesmemory,https://trivselsleder.no/bevegelsesmemory,full-adresse,1141,game,ja,ja
15468,Tipsliste til SFO/AKS,Hopp med kropp,https://trivselsleder.no/hopp-med-kropp,full-adresse,8871,game,ja,ja
15468,Tipsliste til SFO/AKS,Alle mot alle,https://trivselsleder.no/alle-mot-alle-1,full-adresse,,finnes_ikke,,nei
15468,Tipsliste til SFO/AKS,Kari og Knut: Siste par ut!,https://trivselsleder.no/kari-og-knut-siste-par-ut,full-adresse,,finnes_ikke,,nei
15468,Tipsliste til SFO/AKS,Kjegleduellen,https://trivselsleder.no/kjegleduellen-0,full-adresse,,finnes_ikke,,nei
15468,Tipsliste til SFO/AKS,Mastermind,https://trivselsleder.no/mastermind-1,full-adresse,13656,game,ja,ja
15468,Tipsliste til SFO/AKS,Selfiesisten,https://trivselsleder.no/selfiesisten,full-adresse,16213,game,ja,ja
15468,Tipsliste til SFO/AKS,Kortstokktrening,https://trivselsleder.no/kortstokktrening,full-adresse,3930,game,ja,ja
15468,Tipsliste til SFO/AKS,Befrierne,https://trivselsleder.no/befrierne,full-adresse,10127,game,ja,ja
15468,Tipsliste til SFO/AKS,Kuslippet,https://trivselsleder.no/kuslippet,full-adresse,16214,game,ja,ja
15468,Tipsliste til SFO/AKS,Spagaten,https://trivselsleder.no/spagaten-0,full-adresse,,finnes_ikke,,nei
15468,Tipsliste til SFO/AKS,Den forsvunne diamanten,https://trivselsleder.no/den-forsvunne-diamanten,full-adresse,10129,game,ja,ja
15468,Tipsliste til SFO/AKS,Sjiraffen,https://trivselsleder.no/sjiraffen,full-adresse,1054,game,ja,ja
15468,Tipsliste til SFO/AKS,"Stein, saks, papir med ertepose",https://trivselsleder.no/stein-saks-papir-med-ertepose,full-adresse,5136,game,ja,ja
15468,Tipsliste til SFO/AKS,Musenes ostefest,https://trivselsleder.no/musenes-ostefest,full-adresse,13649,game,ja,ja
15468,Tipsliste til SFO/AKS,Terningyoga,https://trivselsleder.no/terningyoga,full-adresse,3931,game,ja,ja
15468,Tipsliste til SFO/AKS,Silent escape,https://trivselsleder.no/silent-escape,full-adresse,1060,game,ja,ja
15468,Tipsliste til SFO/AKS,Tryllestav,https://trivselsleder.no/tryllestav,full-adresse,3937,game,ja,ja
15468,Tipsliste til SFO/AKS,Discosisten,https://trivselsleder.no/discosisten,full-adresse,2724,game,ja,ja
15468,Tipsliste til SFO/AKS,Sjiraffen,https://trivselsleder.no/sjiraffen,full-adresse,1054,game,ja,ja
15468,Tipsliste til SFO/AKS,Harry Potter,https://trivselsleder.no/harry-potter,full-adresse,1150,game,ja,ja
15468,Tipsliste til SFO/AKS,Dance monkey,https://trivselsleder.no/dance-monkey,full-adresse,3940,game,ja,ja
15468,Tipsliste til SFO/AKS,Sjiraffen,https://trivselsleder.no/sjiraffen,full-adresse,1054,game,ja,ja
16291,Tipsliste TL-Mester,Mastermind,https://trivselsleder.no/mastermind-1,full-adresse,13656,game,ja,ja
16291,Tipsliste TL-Mester,Colourcatch,https://trivselsleder.no/colourcatch,full-adresse,1127,game,ja,ja
16291,Tipsliste TL-Mester,Rush hour,https://trivselsleder.no/rush-hour,full-adresse,1128,game,ja,ja
16291,Tipsliste TL-Mester,Frisbeekast,https://trivselsleder.no/frisbeekast,full-adresse,1131,game,ja,ja
16291,Tipsliste TL-Mester,Blinkstafetten,https://trivselsleder.no/blinkstafetten,full-adresse,1045,game,ja,ja
16291,Tipsliste TL-Mester,Fargeduellen,https://trivselsleder.no/fargeduellen-0,full-adresse,1134,game,ja,ja
16291,Tipsliste TL-Mester,Blindekast,https://trivselsleder.no/blindekast,full-adresse,1079,game,ja,ja
16291,Tipsliste TL-Mester,Fjelltåka,https://trivselsleder.no/fjelltaka,full-adresse,1080,game,ja,ja
16291,Tipsliste TL-Mester,Flaggkampen,https://trivselsleder.no/flaggkampen,full-adresse,1445,game,ja,ja
16291,Tipsliste TL-Mester,Balansebølla,https://trivselsleder.no/balansebolla,full-adresse,1123,game,ja,ja
16291,Tipsliste TL-Mester,Speed Stacks,https://trivselsleder.no/speed-stacks,full-adresse,4497,game,ja,ja
16291,Tipsliste TL-Mester,Da Vinci-koden,https://trivselsleder.no/da-vinci-koden-ungdomsskole,full-adresse,1014,atlu,ja,ja
16291,Tipsliste TL-Mester,Hanois tårn,https://trivselsleder.no/hanois-tarn,full-adresse,1096,game,ja,ja
16291,Tipsliste TL-Mester,Fire lys,https://trivselsleder.no/fire-lys-0,full-adresse,15355,game,ja,ja
16291,Tipsliste TL-Mester,Ta flagget,https://trivselsleder.no/ta-flagget,full-adresse,13633,game,ja,ja
16291,Tipsliste TL-Mester,Rockehuset,https://trivselsleder.no/rockehuset,full-adresse,1094,game,ja,ja
16291,Tipsliste TL-Mester,Sjiraffen,https://trivselsleder.no/sjiraffen,full-adresse,1054,game,ja,ja
16291,Tipsliste TL-Mester,Alene hjemme,https://trivselsleder.no/alene-hjemme,full-adresse,6093,game,ja,ja
16291,Tipsliste TL-Mester,Cowboyen,https://trivselsleder.no/cowboyen,full-adresse,1100,game,ja,ja
16291,Tipsliste TL-Mester,Superking,https://trivselsleder.no/superking,full-adresse,1311,game,ja,ja
16291,Tipsliste TL-Mester,Harry Potter,https://trivselsleder.no/harry-potter,full-adresse,1150,game,ja,ja
16291,Tipsliste TL-Mester,Flip out,https://trivselsleder.no/flip-out,full-adresse,8853,game,ja,ja
16291,Tipsliste TL-Mester,Stjernegevinsten,https://trivselsleder.no/stjernegevinsten,full-adresse,10125,game,ja,ja
16291,Tipsliste TL-Mester,Kjeglevinnerne,https://trivselsleder.no/kjeglevinnerne,full-adresse,10126,game,ja,ja
16291,Tipsliste TL-Mester,Hatten på,https://trivselsleder.no/hatten-pa,full-adresse,10132,game,ja,ja
16291,Tipsliste TL-Mester,Chewbacca,https://trivselsleder.no/chewbacca,full-adresse,1184,game,ja,ja
16291,Tipsliste TL-Mester,Krysset,https://trivselsleder.no/krysset,full-adresse,13662,game,ja,ja
16291,Tipsliste TL-Mester,Linjekampen,https://trivselsleder.no/linjekampen,full-adresse,13624,game,ja,ja
16291,Tipsliste TL-Mester,Materball med frisbee,https://trivselsleder.no/masterball-med-frisbee,full-adresse,13629,game,ja,ja
16291,Tipsliste TL-Mester,Indiana Jones mini,https://trivselsleder.no/indiana-jones-mini,full-adresse,13630,game,ja,ja
16291,Tipsliste TL-Mester,Fliptriangelet,https://trivselsleder.no/fliptriangelet,full-adresse,13631,game,ja,ja
16291,Tipsliste TL-Mester,Box ball,https://trivselsleder.no/box-ball,full-adresse,14735,game,ja,ja
16291,Tipsliste TL-Mester,Rubiks matte,https://trivselsleder.no/rubiks-matte,full-adresse,1685,game,ja,ja
16291,Tipsliste TL-Mester,Gladiatorene,https://trivselsleder.no/gladiatorene,full-adresse,1066,game,ja,ja
16291,Tipsliste TL-Mester,Fengselsdirektøren og fangene,https://trivselsleder.no/fengselsdirektoren-og-fangene,full-adresse,1039,game,ja,ja
16291,Tipsliste TL-Mester,Match tiden,https://trivselsleder.no/match-tiden,full-adresse,1463,game,ja,ja
16291,Tipsliste TL-Mester,Boccia-bowling,https://trivselsleder.no/boccia-bowling,full-adresse,3206,game,ja,ja
16291,Tipsliste TL-Mester,Flyvende farger,https://trivselsleder.no/flyvende-farger,full-adresse,3199,game,ja,ja
16291,Tipsliste TL-Mester,Minuttball,https://trivselsleder.no/minuttball,full-adresse,1226,game,ja,ja
16291,Tipsliste TL-Mester,Sirkelsprett,https://trivselsleder.no/sirkelsprett,full-adresse,20065,game,ja,ja
19389,Tipsliste favorittleker,Dodgeball,https://trivselsleder.no/dodgeball,full-adresse,1242,game,ja,ja
19389,Tipsliste favorittleker,Alle mot alle,https://trivselsleder.no/alle-mot-alle-0,full-adresse,13659,game,ja,ja
19389,Tipsliste favorittleker,Chewbacca,https://trivselsleder.no/chewbacca,full-adresse,1184,game,ja,ja
19389,Tipsliste favorittleker,15-leken,https://trivselsleder.no/15-leken,full-adresse,1093,game,ja,ja
